domanID,siteID,namedLocation,domainName,flightbxID,aop_site_id,sitetype,YearSiteVisit,FlightDate,year,flightdate
D05,CRAM,CRAM.AOS.outlet,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,outlet,2017_UNDE_2,2017090118,2017,2017-09-01
D05,CRAM,CRAM.AOS.outlet,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,outlet,2019_UNDE_3,2019060617,2019,2019-06-06
D05,CRAM,CRAM.AOS.outlet,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,outlet,2019_UNDE_3,2019060813,2019,2019-06-08
D05,CRAM,CRAM.AOS.outlet,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,outlet,2020_UNDE_4,2020080613,2020,2020-08-06
D05,CRAM,CRAM.AOS.outlet,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,outlet,2020_UNDE_4,2020081115,2020,2020-08-11
D05,CRAM,CRAM.AOS.inlet,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,inlet,2016_UNDE_1,2016090214,2016,2016-09-02
D05,CRAM,CRAM.AOS.inlet,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,inlet,2017_UNDE_2,2017091214,2017,2017-09-12
D05,CRAM,CRAM.AOS.inlet,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,inlet,2017_UNDE_2,2017090118,2017,2017-09-01
D05,CRAM,CRAM.AOS.inlet,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,inlet,2019_UNDE_3,2019060617,2019,2019-06-06
D05,CRAM,CRAM.AOS.inlet,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,inlet,2019_UNDE_3,2019060813,2019,2019-06-08
D05,CRAM,CRAM.AOS.inlet,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,inlet,2020_UNDE_4,2020080613,2020,2020-08-06
D05,CRAM,CRAM.AOS.inlet,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,inlet,2020_UNDE_4,2020081115,2020,2020-08-11
